Stress,Ref
2.652964493466893059e-02,1.028250763554757613e-02
2.434428375725276525e-02,9.946929618655507219e-03
2.308140922547854273e-02,9.650684600082868464e-03
2.133525636007568838e-02,9.361983191849160627e-03
2.026419802917699131e-02,9.092118163522176430e-03
1.874361827575212261e-02,8.833689066602281453e-03
1.015323049719409099e+01,9.817472923219967562e-01
6.523268971198123989e-01,2.945241876965990713e+00
3.016835798258569845e+00,2.658898916705406013e+00
2.265723034217088028e+01,4.361223548584252097e-01
2.191620748592627876e+01,2.168081630180773156e-01
6.029150650235989950e+00,1.285620697734070617e-01
2.406701594770493724e+00,9.557786005427235110e-02
1.025697313606987793e+00,7.499299978808655898e-02
6.535306595498125981e-01,6.179799384379550814e-02
4.175359944151587621e-01,5.269071662744619772e-02
2.860634582939541870e-01,4.516881930779112486e-02
2.170782269815551835e-01,3.931560029660141620e-02
1.727631842970490661e-01,3.552713016929575501e-02
1.324223485447287574e-01,3.188135257895501756e-02
1.080032910565361937e-01,2.877317074555019172e-02
8.312305229401545370e-02,2.643367087946292202e-02
7.855998578154109457e-02,2.448938324450058990e-02
6.970664000859506937e-02,2.269613539090550164e-02
5.443076005799001721e-02,2.115521545637678857e-02
5.203131997007719861e-02,1.992263044814447659e-02
4.125383100126189112e-02,1.873051927045118331e-02
3.957275116052510339e-02,1.764369498333816580e-02
3.324669096479363622e-02,1.672489385157969674e-02
2.744106121546039181e-02,1.585514033931439276e-02
2.713413881453642651e-02,1.512106720625790504e-02
2.454478090290495435e-02,1.445959646438984419e-02
2.093106122085366602e-02,1.380459877828855639e-02
1.924402043781419866e-02,1.321023557765348654e-02
1.720557730904153509e-02,1.269377814067589386e-02
1.641272533241222922e-02,1.219603597753217417e-02
1.457315314513943014e-02,1.174573203937630261e-02
1.278248766460028142e-02,1.132782993726096955e-02
1.284388557247164060e-02,1.094151480594055502e-02
1.164886519368437540e-02,1.057424043578348259e-02
1.100438873880819381e-02,1.022684818398192537e-02
9.847734014246789860e-03,9.903600682488959694e-03
9.122780128871110436e-03,9.591679525200021150e-03
8.789909939133524683e-03,9.309782842767387948e-03
8.225337250761598218e-03,9.053934163656726652e-03
7.424865102133837089e-03,8.803838674376365109e-03
6.746346499695983212e+00,9.817472923219958680e-01
2.055263412793790767e+00,1.840776173103743085e+00
1.507001728660110285e+00,8.999350179618295087e-01
1.004259739482232305e+01,3.349918949961366854e-01
9.342564942400352734e+00,1.767464443917615424e-01
4.298278632139470368e+00,1.283896830862230054e-01
6.253071149033940790e-01,9.217496361905136437e-02
-1.166547195140292675e-01,7.301475644200849935e-02
-3.241949127029161715e-01,5.907541509614499392e-02
-3.393398041739500437e-01,4.982289286837593423e-02
-2.918016650103691934e-01,4.420948485620949248e-02
-2.333590897286210997e-01,3.872349129677949559e-02
-1.900370279054547362e-01,3.435506328969375328e-02
-1.647597418557943671e-01,3.097229980588801085e-02
-1.411800372140752657e-01,2.839274835326011451e-02
-1.272951806269319863e-01,2.613597152511782859e-02
-9.936573105114354654e-02,2.403411948610558249e-02
-8.903264358374847476e-02,2.232609187130874667e-02
-7.631770583637580152e-02,2.089629447503100687e-02
-6.628210807009929373e-02,1.962736631532305959e-02
-6.362690285270994339e-02,1.846950424656976925e-02
-5.292140857854499975e-02,1.748382655408786679e-02
-4.989844518224894471e-02,1.658946322516013233e-02
-4.740458124817280294e-02,1.574419554321383058e-02
