MAS,Ref
6.816592414295255878e-03,8.163993324920560540e-03
6.195039426935827244e-03,7.960188675906788858e-03
6.628757717758120283e-01,inf
nan,nan
-3.580677811921402665e+00,9.817472923219965064e-02
-1.115002306677091148e+01,9.476716358342718305e-02
-1.959083594059590760e+00,7.361415046799960060e-02
3.001859243314199066e+00,5.869063521094543268e-02
2.448909715859682201e+00,4.975340281234832962e-02
1.396571847977855718e+00,4.220697495744628325e-02
9.395886092214590368e-01,3.761727819585632127e-02
6.982032117795489157e-01,3.353951738395136856e-02
5.021279954962848402e-01,3.007901501471434841e-02
3.945041047625555408e-01,2.757144527879819285e-02
3.140137594247525699e-01,2.524106149515717781e-02
2.518592666047757556e-01,2.340705441385916227e-02
2.142731206055928372e-01,2.181718354584661484e-02
1.733593503403116354e-01,2.033584334835008070e-02
1.509888474760908705e-01,1.912378676998994012e-02
1.319173427631695483e-01,1.802224665114127503e-02
1.131355737655263399e-01,1.706943844717033823e-02
9.791248489547466072e-02,1.619988198879871236e-02
8.738521046490094202e-02,1.535748636430819825e-02
7.589399464539618723e-02,1.466016277666677171e-02
7.025928920450094650e-02,1.401151001146390927e-02
6.004705142657180972e-02,1.341591386597035772e-02
5.683216872878039949e-02,1.286993110259718014e-02
4.970646848359943498e-02,1.234848754405923343e-02
4.647608161181878556e-02,1.188095330477006648e-02
4.157049375402493280e-02,1.145024452238054512e-02
3.887680989450705005e-02,1.104705652570397816e-02
3.474721616205639352e-02,1.067275771436908445e-02
3.320536298723333890e-02,1.031925306374737242e-02
2.946551036980297328e-02,9.992374985795955331e-03
2.858121994119309020e-02,9.679735723050546595e-03
2.569060840699307485e-02,9.387581999689434409e-03
2.458776398865929191e-02,9.124901692195725583e-03
2.242435301220107799e-02,8.859151307554831434e-03
2.145889655025786172e-02,8.622303408603322616e-03
1.972770179081251990e-02,8.391478176699641855e-03
1.889694394933218863e-02,8.172412091498585177e-03
1.736825796500891805e-02,7.963411294789106420e-03
-7.142866049837405251e-01,inf
-4.407996255161148458e-01,2.556633573755199285e-01
-4.059690723607032870e-01,1.327640683579433822e-01
-9.306718894389445218e-01,9.543882396507520627e-02
1.970403631213708451e+01,7.393023989304883803e-02
8.585434067456942486e+00,5.896021908375725235e-02
4.002947502710101801e+00,4.991773237324993728e-02
1.990646909757354921e+00,4.246842315733564271e-02
1.264606685940324216e+00,3.771731307042350267e-02
8.734325248218436366e-01,3.361029680938613234e-02
6.246048079528703223e-01,3.018819479684071994e-02
4.788072356278911257e-01,2.762220345946361788e-02
3.753166209241945439e-01,2.530704557257889425e-02
2.998480805444496133e-01,2.344512249284979449e-02
2.497217954916292337e-01,2.184799558118301344e-02
2.034426177138289327e-01,2.036540900836502146e-02
1.742308392304786624e-01,1.914836049608131807e-02
1.500173676242011200e-01,1.804279521735015906e-02
1.287824916920297380e-01,1.708423739758762813e-02
1.114539730452885069e-01,1.620959394605074252e-02
9.828798163634731855e-02,1.537307057146089680e-02
8.580559175441457298e-02,1.466991388239748118e-02
7.797485389817310208e-02,1.402132369688270652e-02
6.770223932591566685e-02,1.342227929478607105e-02
6.267079560898465573e-02,1.287691285369488813e-02
5.537426085280550137e-02,1.235466031618711116e-02
5.107487083935799421e-02,1.188768646763183924e-02
4.593009600359512778e-02,1.145516971133543963e-02
4.250690886512396155e-02,1.105235116137081273e-02
3.830282334062864308e-02,1.067651783527656835e-02
3.604733825699451416e-02,1.032388666127758217e-02
3.238767038617922089e-02,9.995426845830875789e-03
3.087222715796760289e-02,9.683854572528436538e-03
2.801015607544827743e-02,9.390752434903672577e-03
2.652759534839866165e-02,9.127721434109122012e-03
2.434239956944157443e-02,8.861733938641284600e-03
2.307994965459554335e-02,8.624809028664899221e-03
2.133390284818369176e-02,8.393341769915664552e-03
2.026315201168402830e-02,8.174637743344191979e-03
1.874263307907741982e-02,7.965088389643774219e-03
6.628757717758122503e-01,inf
-3.652099927437828519e-01,1.732495221744700387e-01
1.239488681466264230e+00,1.380279261064117358e-01
9.541233778842858726e+00,9.095599914159670230e-02
1.382393453582143605e+00,7.035403636666000271e-02
-3.883939550519659445e-01,5.566569520488635903e-02
9.368242893455065445e-01,4.752479357547242933e-02
5.233166775574903395e-01,4.156221731362949590e-02
4.815451675391227981e-01,3.691025292072645098e-02
3.350180679174446507e-01,3.337222777591100642e-02
2.463875694708222430e-01,3.005237468816657903e-02
1.971718413962513239e-01,2.722668206354618772e-02
1.609675928451432536e-01,2.534562844951172150e-02
1.252582727796381357e-01,2.338460921564670947e-02
1.037083213381956720e-01,2.161608165944425494e-02
8.018802189788599988e-02,2.025724055592619324e-02
7.672990672693451308e-02,1.907305704641959476e-02
6.850931379942941379e-02,1.794526866755840125e-02
5.352610600577773631e-02,1.696254357663866397e-02
5.141632491282176892e-02,1.615169730480963545e-02
4.076978587501770696e-02,1.535631431821632940e-02
3.923884211852769754e-02,1.460408847381656529e-02
3.298216854750374988e-02,1.396737305288370430e-02
2.722904697042477506e-02,1.335247935029261306e-02
2.698001142323212809e-02,1.282195555741242124e-02
