Stress,Ref
-3.945930555555555996e-02,1.202890165132494693e-02
-3.798201388888888114e-02,1.313488595558934963e-02
-3.070827777777777184e-02,1.425858713688126639e-02
-1.518773750000000124e-02,1.535314286204669983e-02
1.025445006944444501e-02,1.635768878376819141e-02
4.488306250000000802e-02,1.720180811402105894e-02
8.372284722222222975e-02,1.781467283995000206e-02
1.168734722222222466e-01,1.813777638690838162e-02
1.316580555555555698e-01,1.819835511854498572e-02
1.179609722222222240e-01,1.819835511854498572e-02
7.419937499999998409e-02,1.813777638690838162e-02
9.569290277777775869e-03,1.781467283995000553e-02
-5.973685416666668635e-02,1.720180811402105894e-02
-1.179304166666666487e-01,1.635768878376818794e-02
-1.556159722222221764e-01,1.535314286204669983e-02
-1.712847916666666859e-01,1.425858713688126639e-02
-1.690188888888888852e-01,1.313488595558935483e-02
-1.550578472222222115e-01,1.202890165132494867e-02
-1.352388888888888530e-01,1.097296081854091943e-02
-1.138447916666666948e-01,9.986706216815894807e-03
-9.348687500000002482e-02,9.079919787492365252e-03
-7.546208333333334628e-02,8.255378334803574469e-03
-6.020499999999999463e-02,7.511275885722422038e-03
-4.766215277777777898e-02,6.843072147589385548e-03
-3.754618055555555139e-02,6.244800599654337474e-03
-2.948738888888888243e-02,5.709938542749519279e-03
-2.311787500000000301e-02,5.231952071048961636e-03
-1.810597916666667126e-02,4.804614046379895170e-03
-1.450772499999999736e-02,4.457812346349863085e-03
-4.435916666666667001e-03,4.626774638334407198e-03
-5.820694444444444310e-03,5.047107867544409904e-03
-7.577493055555551728e-03,5.520797271978266328e-03
-9.798333333333332507e-03,6.055715914333389960e-03
-1.259049305555555442e-02,6.660750947255219580e-03
-1.607154861111111457e-02,7.345746724055073062e-03
-2.035609027777777677e-02,8.121288330025563246e-03
-2.552641666666666254e-02,8.998215659056200619e-03
-3.157548611111111320e-02,9.986706216815900011e-03
-3.830638888888888288e-02,1.109470490756741222e-02
-4.516465277777777232e-02,1.232543112132720477e-02
-5.099166666666667819e-02,1.367370748222369002e-02
-5.372034722222222836e-02,1.512102891167485877e-02
-5.013187499999999935e-02,1.662977461072073088e-02
