lat,lon,mag,depth
2.407000000000000028e+01,1.210000000000000000e+02,3.169999999999999929e+00,2.799999999999999822e+00
2.416000000000000014e+01,1.211800000000000068e+02,3.140000000000000124e+00,1.219999999999999929e+01
2.426999999999999957e+01,1.211299999999999955e+02,3.049999999999999822e+00,5.799999999999999822e+00
2.417000000000000171e+01,1.210600000000000023e+02,3.339999999999999858e+00,8.599999999999999645e+00
2.435000000000000142e+01,1.209200000000000017e+02,3.299999999999999822e+00,4.099999999999999645e+00
2.426999999999999957e+01,1.209000000000000057e+02,3.129999999999999893e+00,6.099999999999999645e+00
2.387000000000000099e+01,1.209699999999999989e+02,3.080000000000000071e+00,6.099999999999999645e+00
2.412000000000000099e+01,1.210699999999999932e+02,3.040000000000000036e+00,5.299999999999999822e+00
2.403000000000000114e+01,1.211299999999999955e+02,3.509999999999999787e+00,5.500000000000000000e+00
2.419999999999999929e+01,1.211099999999999994e+02,3.359999999999999876e+00,7.900000000000000355e+00
2.426000000000000156e+01,1.211899999999999977e+02,4.459999999999999964e+00,1.450000000000000000e+01
2.389000000000000057e+01,1.208700000000000045e+02,3.149999999999999911e+00,9.900000000000000355e+00
2.414000000000000057e+01,1.209399999999999977e+02,3.970000000000000195e+00,7.599999999999999645e+00
2.426999999999999957e+01,1.211899999999999977e+02,3.200000000000000178e+00,1.689999999999999858e+01
2.423999999999999844e+01,1.211899999999999977e+02,3.299999999999999822e+00,8.199999999999999289e+00
2.435999999999999943e+01,1.209200000000000017e+02,3.540000000000000036e+00,4.500000000000000000e+00
2.344999999999999929e+01,1.210000000000000000e+02,3.049999999999999822e+00,2.510000000000000142e+01
2.407999999999999829e+01,1.214200000000000017e+02,3.339999999999999858e+00,7.099999999999999645e+00
2.428000000000000114e+01,1.210900000000000034e+02,4.019999999999999574e+00,6.200000000000000178e+00
2.371999999999999886e+01,1.209099999999999966e+02,3.129999999999999893e+00,5.000000000000000000e+00
2.432000000000000028e+01,1.209200000000000017e+02,3.069999999999999840e+00,6.299999999999999822e+00
2.423000000000000043e+01,1.210999999999999943e+02,3.149999999999999911e+00,1.639999999999999858e+01
2.396999999999999886e+01,1.207699999999999960e+02,3.200000000000000178e+00,9.800000000000000711e+00
2.405000000000000071e+01,1.209699999999999989e+02,3.020000000000000018e+00,1.169999999999999929e+01
2.401000000000000156e+01,1.209800000000000040e+02,3.620000000000000107e+00,6.000000000000000000e+00
2.389000000000000057e+01,1.214399999999999977e+02,3.000000000000000000e+00,3.030000000000000071e+01
2.420800000000000196e+01,1.212729999999999961e+02,4.000000000000000000e+00,3.600000000000000089e+00
2.428999999999999915e+01,1.210799999999999983e+02,3.129999999999999893e+00,8.500000000000000000e+00
2.426000000000000156e+01,1.213900000000000006e+02,2.890000000000000124e+00,1.259999999999999964e+01
2.425000000000000000e+01,1.214000000000000057e+02,3.540000000000000036e+00,6.599999999999999645e+00
2.388800000000000168e+01,1.209350000000000023e+02,3.450000000000000178e+00,8.000000000000000000e+00
2.417000000000000171e+01,1.213599999999999994e+02,3.390000000000000124e+00,4.900000000000000355e+00
2.398499999999999943e+01,1.206700000000000017e+02,3.459999999999999964e+00,1.300000000000000000e+01
2.410000000000000142e+01,1.210300000000000011e+02,3.020000000000000018e+00,4.639999999999999858e+01
2.417000000000000171e+01,1.216800000000000068e+02,3.160000000000000142e+00,9.800000000000000711e+00
2.392999999999999972e+01,1.210229999999999961e+02,3.910000000000000142e+00,2.060000000000000142e+01
2.417000000000000171e+01,1.214599999999999937e+02,3.129999999999999893e+00,5.900000000000000355e+00
